                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.3261,                 1.1519,                 1.7959,                0.77654,                0.65079,                0.74468,                0.43896,                 1.4863,                 1.4202,                 2.2403,             0.00059525,             0.00059525,             0.00059525
                     86,                 1.2994,                 1.1344,                 1.7931,                0.84075,                0.67047,                0.80576,                0.57557,                 1.1383,                 1.1564,                 1.8189,             0.00059383,             0.00059383,             0.00059383
                     87,                  1.276,                 1.1231,                 1.7708,                0.75553,                0.69841,                0.76246,                0.50782,                  1.277,                 1.3024,                 1.9413,             0.00059242,             0.00059242,             0.00059242
                     88,                   1.32,                 1.1278,                 1.8214,                0.84424,                0.68833,                0.78989,                 0.5459,                  1.288,                 1.1714,                 1.9698,             0.00059101,             0.00059101,             0.00059101
                     89,                 1.2755,                 1.1653,                 1.7943,                0.77365,                0.75955,                0.78957,                0.51542,                 1.3378,                 1.1851,                 2.0246,             0.00058959,             0.00058959,             0.00058959
                     90,                 1.3252,                 1.1843,                 1.8186,                0.58357,                 0.7619,                0.71526,                0.49315,                  1.287,                 1.2752,                 1.9731,             0.00058818,             0.00058818,             0.00058818
                     91,                 1.2758,                 1.1436,                 1.8123,                0.91879,                0.71843,                0.81321,                0.58005,                 1.1868,                 1.0871,                 1.8661,             0.00058677,             0.00058677,             0.00058677
                     92,                  1.292,                 1.1714,                 1.8052,                0.87521,                0.69841,                0.83129,                0.55173,                 1.2311,                 1.1266,                 1.8718,             0.00058535,             0.00058535,             0.00058535
                     93,                 1.3072,                 1.1139,                 1.8138,                0.92315,                0.71429,                0.86893,                0.59476,                 1.2008,                0.98171,                 1.8367,             0.00058394,             0.00058394,             0.00058394
                     94,                  1.311,                  1.135,                 1.7713,                 0.7216,                0.82289,                0.82742,                0.56554,                 1.2557,                 1.0996,                 1.9037,             0.00058252,             0.00058252,             0.00058252
                     95,                 1.2561,                 1.0787,                 1.7576,                0.90612,                0.63492,                0.79504,                0.53023,                 1.3039,                 1.1187,                  1.984,             0.00058111,             0.00058111,             0.00058111
                     96,                 1.2569,                 1.1384,                 1.7575,                0.77241,                0.70036,                0.75348,                0.49965,                  1.331,                 1.1615,                 2.0202,              0.0005797,              0.0005797,              0.0005797
                     97,                 1.2319,                 1.0789,                 1.7526,                0.71254,                0.79365,                0.78978,                0.52989,                 1.3195,                 1.2486,                 2.0209,             0.00057828,             0.00057828,             0.00057828
                     98,                 1.2972,                 1.0642,                 1.7368,                0.85355,                0.71429,                0.81338,                0.54266,                 1.3168,                 1.1857,                  1.971,             0.00057687,             0.00057687,             0.00057687
                     99,                  1.223,                 1.1018,                 1.7357,                0.72356,                0.83096,                0.82813,                0.54785,                 1.2887,                 1.1941,                  1.981,             0.00057546,             0.00057546,             0.00057546
                    100,                 1.2551,                 1.0983,                  1.754,                0.90251,                0.66667,                0.76635,                0.51189,                 1.3534,                 1.3099,                 2.0873,             0.00057404,             0.00057404,             0.00057404
                    101,                 1.2331,                 1.0988,                 1.7356,                0.86573,                0.71648,                0.80434,                0.53117,                 1.3479,                 1.2013,                 2.0284,             0.00057263,             0.00057263,             0.00057263
                    102,                  1.266,                 1.0614,                 1.7187,                0.81548,                0.77174,                0.82221,                 0.5424,                 1.2974,                 1.1063,                 1.9902,             0.00057121,             0.00057121,             0.00057121
                    103,                 1.3241,                 1.0784,                 1.7288,                0.74725,                0.77778,                0.82578,                0.58746,                 1.1804,                 1.1488,                 1.8937,              0.0005698,              0.0005698,              0.0005698
                    104,                 1.1738,                 1.0076,                 1.6926,                0.76318,                 0.8254,                0.84832,                0.54656,                 1.2995,                 1.0862,                 1.9691,             0.00056839,             0.00056839,             0.00056839
                    105,                 1.2151,                 1.0962,                 1.6833,                0.87901,                0.80729,                0.83662,                0.56522,                 1.2118,                 1.1236,                 1.8621,             0.00056697,             0.00056697,             0.00056697
                    106,                 1.1965,                 1.0427,                 1.6774,                 0.8854,                0.69841,                0.80586,                0.54334,                 1.1757,                  1.184,                 1.8651,             0.00056556,             0.00056556,             0.00056556
                    107,                 1.1793,                 1.0387,                 1.7079,                0.80222,                0.80952,                0.83553,                0.57323,                  1.255,                 1.0381,                 1.9335,             0.00056415,             0.00056415,             0.00056415
                    108,                 1.2051,                 1.0242,                 1.7153,                0.87874,                0.69023,                0.81681,                0.53723,                 1.2633,                 1.1181,                 1.9337,             0.00056273,             0.00056273,             0.00056273
                    109,                 1.2447,                0.98231,                 1.7473,                0.76997,                 0.8254,                0.81715,                0.56471,                 1.1805,                 1.1015,                 1.8792,             0.00056132,             0.00056132,             0.00056132
                    110,                 1.2877,                 1.0254,                 1.7277,                0.90167,                0.74603,                0.83677,                0.56561,                 1.2072,                 1.0517,                 1.9118,              0.0005599,              0.0005599,              0.0005599
                    111,                 1.2217,                 1.0198,                 1.6998,                0.91699,                0.77778,                0.86432,                 0.6258,                 1.2085,                  1.006,                 1.8575,             0.00055849,             0.00055849,             0.00055849
