                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.42718,                 0.4494,                 1.0145,                0.39909,                0.14286,                0.21585,                0.07172,                 2.2457,                 3.2226,                 3.4419,              0.0006009,              0.0006009,              0.0006009
                     82,                0.39669,                0.41739,                0.99101,                0.42766,                0.19048,                0.24594,                0.07425,                 2.2778,                 3.1365,                 3.4848,             0.00059949,             0.00059949,             0.00059949
                     83,                0.34318,                0.39536,                0.97025,                0.76416,                0.20635,                0.37725,                0.11295,                 2.2327,                 3.2146,                 3.4657,             0.00059807,             0.00059807,             0.00059807
                     84,                0.37457,                0.40084,                0.98024,                0.51864,                0.20635,                0.25874,                0.07947,                 2.2968,                 3.1574,                 3.5903,             0.00059666,             0.00059666,             0.00059666
                     85,                0.36601,                0.39772,                0.97589,                0.59074,                0.20621,                0.28223,                0.08961,                 2.2205,                 3.1819,                  3.636,             0.00059525,             0.00059525,             0.00059525
                     86,                0.38445,                0.40353,                0.97088,                0.57012,                0.12635,                0.26136,                0.09275,                 2.1924,                 3.3219,                 3.5455,             0.00059383,             0.00059383,             0.00059383
                     87,                0.38455,                0.38652,                0.96888,                0.48145,                0.10346,                 0.2228,                0.07264,                 2.2051,                 3.4104,                 3.5394,             0.00059242,             0.00059242,             0.00059242
                     88,                0.33838,                0.36691,                0.96496,                0.34328,                0.14286,                0.20139,                0.07352,                 2.1969,                 3.2415,                 3.4768,             0.00059101,             0.00059101,             0.00059101
                     89,                0.34039,                0.36837,                0.95281,                0.53069,                0.12698,                0.24238,                0.06678,                 2.1887,                 3.3844,                 3.5072,             0.00058959,             0.00058959,             0.00058959
                     90,                 0.3213,                0.35356,                0.94134,                0.57554,                 0.1746,                0.27525,                0.07418,                 2.1918,                 3.2896,                 3.5848,             0.00058818,             0.00058818,             0.00058818
                     91,                0.34107,                0.35979,                0.94126,                0.50748,                0.18007,                0.25909,                 0.0767,                  2.276,                 3.1911,                 3.5112,             0.00058677,             0.00058677,             0.00058677
                     92,                0.32908,                0.35221,                0.94277,                0.35685,                0.09524,                0.17188,                0.04894,                 2.2173,                 3.4657,                 3.5596,             0.00058535,             0.00058535,             0.00058535
                     93,                0.33784,                0.35013,                0.93351,                0.51996,                0.09524,                0.22641,                0.07168,                 2.1932,                  3.465,                 3.4615,             0.00058394,             0.00058394,             0.00058394
                     94,                0.32168,                0.33812,                0.92864,                0.27271,                0.06349,                0.16055,                0.04546,                 2.1754,                 3.4488,                 3.4857,             0.00058252,             0.00058252,             0.00058252
                     95,                0.28193,                 0.3128,                 0.9177,                0.26837,                0.09524,                0.19035,                0.05527,                 2.2238,                 3.3661,                 3.5361,             0.00058111,             0.00058111,             0.00058111
                     96,                0.33383,                0.33889,                 0.9314,                 0.4124,                0.11111,                0.17127,                0.05934,                 2.1589,                 3.3975,                 3.5183,              0.0005797,              0.0005797,              0.0005797
                     97,                0.30571,                0.31824,                0.91868,                0.28444,                0.11111,                0.16177,                0.05475,                 2.1488,                 3.4025,                 3.5195,             0.00057828,             0.00057828,             0.00057828
                     98,                0.31397,                0.31395,                0.92692,                0.69103,                0.12698,                0.26956,                0.08478,                 2.1435,                 3.4112,                 3.4745,             0.00057687,             0.00057687,             0.00057687
                     99,                0.32408,                0.32258,                0.91957,                0.54383,                0.07937,                0.25147,                0.08513,                 2.1579,                 3.5521,                 3.4859,             0.00057546,             0.00057546,             0.00057546
                    100,                0.29924,                0.30781,                0.91111,                0.62983,                0.14286,                0.26026,                0.10103,                 2.1902,                 3.3554,                 3.4802,             0.00057404,             0.00057404,             0.00057404
